SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
206,14.336,28,10,protocol,7.5,670,7886,11.7701,827,619,0.748489,0.631485,0.578706,0.538209,0.491172,0.445523,0.394359,0.394359,0.394359,0.394359,0.0986638
207,14.336,28,10,protocol,7.5,670,7796,11.6358,842,649,0.770784,0.625664,0.569643,0.528217,0.487322,0.441013,0.390464,0.390464,0.390464,0.390464,0.0985172
208,13.312,26,10,protocol,7.5,670,7796,11.6358,880,675,0.767045,0.633495,0.568671,0.528272,0.490985,0.442687,0.391936,0.391936,0.391936,0.391936,0.0983762
209,13.312,26,10,protocol,7.5,670,7952,11.8687,892,694,0.778027,0.648946,0.58066,0.538593,0.501985,0.45193,0.402857,0.402857,0.402857,0.402857,0.0982378
210,12.288,24,10,protocol,7.5,670,7775,11.6045,882,680,0.770975,0.644899,0.569265,0.525943,0.485162,0.44061,0.397332,0.397332,0.397332,0.397332,0.0981036
211,7.68,15,10,protocol,7.5,670,4527,6.75672,810,446,0.550617,0.417986,0.365745,0.334186,0.298237,0.259586,0.231442,0.231442,0.231442,0.231442,0.0990374
212,11.264,22,10,protocol,7.5,670,6720,10.0299,791,629,0.795196,0.603023,0.516988,0.467872,0.42989,0.382921,0.340667,0.340667,0.340667,0.340667,0.100015
213,15.872,31,10,protocol,7.5,670,8422,12.5701,800,669,0.83625,0.671678,0.603479,0.570801,0.531537,0.47872,0.427817,0.427817,0.427817,0.427817,0.0998377
214,16.384,32,10,protocol,7.5,670,7362,10.9881,904,677,0.748894,0.632561,0.556312,0.511411,0.473502,0.421959,0.376688,0.376688,0.376688,0.376688,0.0996537
215,16.384,32,10,protocol,7.5,670,7888,11.7731,938,770,0.820896,0.696471,0.61184,0.565855,0.510459,0.453251,0.403705,0.403705,0.403705,0.403705,0.0994751
216,16.384,32,10,protocol,7.5,670,8144,12.1552,952,750,0.787815,0.649542,0.59329,0.558438,0.5184,0.465192,0.41585,0.41585,0.41585,0.41585,0.0992992
217,16.384,32,10,protocol,7.5,670,7895,11.7836,970,781,0.805155,0.668035,0.595523,0.545259,0.503241,0.451288,0.402703,0.402703,0.402703,0.402703,0.0991235
218,16.384,32,10,protocol,7.5,670,7759,11.5806,1060,773,0.729245,0.628563,0.566381,0.527947,0.491632,0.443081,0.394078,0.394078,0.394078,0.394078,0.09895
219,15.872,31,10,protocol,7.5,670,7333,10.9448,1104,814,0.737319,0.61014,0.539268,0.504726,0.467793,0.421404,0.371724,0.371724,0.371724,0.371724,0.0987863
220,16.384,32,10,protocol,7.5,670,8411,12.5537,1142,885,0.774956,0.682173,0.626315,0.583525,0.536232,0.480201,0.426176,0.426176,0.426176,0.426176,0.0986236
221,16.384,32,10,protocol,7.5,670,7917,11.8164,1108,848,0.765343,0.646667,0.599308,0.555073,0.509046,0.450541,0.400253,0.400253,0.400253,0.400253,0.0984557
222,16.384,32,10,protocol,7.5,670,7963,11.8851,1144,851,0.743881,0.653233,0.584487,0.549275,0.507642,0.450087,0.401138,0.401138,0.401138,0.401138,0.0982886
223,16.384,32,10,protocol,7.5,670,8191,12.2254,1180,904,0.766102,0.658095,0.59801,0.561657,0.516708,0.462379,0.40953,0.40953,0.40953,0.40953,0.0981178
224,16.384,32,10,protocol,7.5,670,7648,11.4149,1190,908,0.763025,0.632701,0.561835,0.530335,0.486278,0.431342,0.380063,0.380063,0.380063,0.380063,0.0979533
225,16.384,32,10,protocol,7.5,670,8249,12.3119,1102,824,0.747731,0.655543,0.588209,0.560275,0.51928,0.464521,0.405018,0.405018,0.405018,0.405018,0.0977922
226,9.728,19,10,protocol,7.5,670,3949,5.89403,1162,593,0.510327,0.404762,0.334808,0.30195,0.2636,0.22542,0.192653,0.192653,0.192653,0.192653,0.098768
227,14.336,28,10,protocol,7.5,670,6477,9.66716,1096,771,0.703467,0.581395,0.496307,0.454908,0.415746,0.365232,0.31609,0.31609,0.31609,0.31609,0.0996767
228,23.04,45,10,protocol,7.5,670,7735,11.5448,1192,842,0.706376,0.630714,0.562652,0.523586,0.483146,0.428221,0.376179,0.376179,0.376179,0.376179,0.0995543
229,19.456,38,10,protocol,7.5,670,7707,11.503,1364,1003,0.735337,0.641394,0.55815,0.52093,0.482743,0.424686,0.373202,0.373202,0.373202,0.373202,0.0994137
230,18.432,36,10,protocol,7.5,670,8079,12.0582,1433,1090,0.760642,0.676417,0.594047,0.553417,0.510547,0.44788,0.391595,0.391595,0.391595,0.391595,0.0992838
231,17.92,35,10,protocol,7.5,670,8485,12.6642,1338,1073,0.801943,0.70088,0.610903,0.571704,0.533113,0.475122,0.411234,0.411234,0.411234,0.411234,0.0991628
232,15.872,31,10,protocol,7.5,670,8188,12.2209,1202,912,0.758735,0.673253,0.590088,0.548678,0.511775,0.45883,0.396629,0.396629,0.396629,0.396629,0.0990478
233,14.848,29,10,protocol,7.5,670,7519,11.2224,1186,857,0.722597,0.639706,0.541291,0.502485,0.463124,0.417415,0.365319,0.365319,0.365319,0.365319,0.0989378
234,12.288,24,10,protocol,7.5,670,8103,12.094,1134,857,0.755732,0.647444,0.569415,0.537324,0.498548,0.445112,0.397615,0.397615,0.397615,0.397615,0.0988294
235,12.288,24,10,protocol,7.5,670,8168,12.191,1174,953,0.811755,0.701623,0.601859,0.547594,0.505019,0.445537,0.400431,0.400431,0.400431,0.400431,0.0987247
236,10.24,20,10,protocol,7.5,670,7893,11.7806,1157,879,0.759723,0.663679,0.558464,0.522418,0.48649,0.427649,0.385739,0.385739,0.385739,0.385739,0.0986298
