SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower WavePktsSent WavePtksReceived WavePktsPpr ExpectedWavePktsReceived ExpectedWavePktsInCoverageReceived BSM_PDR1 BSM_PDR2 BSM_PDR3 BSM_PDR4 BSM_PDR5 BSM_PDR6 BSM_PDR7 BSM_PDR8 BSM_PDR9 BSM_PDR10 MacPhyOverhead
56 18.432 36 10 protocol 7.5 670 0 0 772 0 0 0 0 0 0 0 0 0 0 0 2132.45
57 18.432 36 10 protocol 7.5 670 0 0 774 0 0 0 0 0 0 0 0 0 0 0 2108.53
58 18.432 36 10 protocol 7.5 670 0 0 748 0 0 0 0 0 0 0 0 0 0 0 2078.87
59 20.48 40 10 protocol 7.5 670 0 0 796 0 0 0 0 0 0 0 0 0 0 0 2064.61
60 19.456 38 10 protocol 7.5 670 0 0 840 0 0 0 0 0 0 0 0 0 0 0 2046.46
61 20.48 40 10 protocol 7.5 670 0 0 860 0 0 0 0 0 0 0 0 0 0 0 2016.9
62 20.992 41 10 protocol 7.5 670 0 0 866 0 0 0 0 0 0 0 0 0 0 0 2004.57
63 20.48 40 10 protocol 7.5 670 0 0 897 0 0 0 0 0 0 0 0 0 0 0 1992.12
64 19.968 39 10 protocol 7.5 670 0 0 990 0 0 0 0 0 0 0 0 0 0 0 1980.23
65 19.456 38 10 protocol 7.5 670 0 0 990 0 0 0 0 0 0 0 0 0 0 0 1966.13
66 18.944 37 10 protocol 7.5 670 0 0 953 0 0 0 0 0 0 0 0 0 0 0 1939.09
67 20.48 40 10 protocol 7.5 670 0 0 1012 0 0 0 0 0 0 0 0 0 0 0 1919.03
68 20.48 40 10 protocol 7.5 670 0 0 996 0 0 0 0 0 0 0 0 0 0 0 1907.83
69 20.48 40 10 protocol 7.5 670 0 0 1074 0 0 0 0 0 0 0 0 0 0 0 1894.84
70 18.432 36 10 protocol 7.5 670 0 0 1207 0 0 0 0 0 0 0 0 0 0 0 1868.89
71 20.992 41 10 protocol 7.5 670 0 0 1206 0 0 0 0 0 0 0 0 0 0 0 1844.42
72 20.48 40 10 protocol 7.5 670 0 0 1128 0 0 0 0 0 0 0 0 0 0 0 1833.16
73 20.48 40 10 protocol 7.5 670 0 0 1017 0 0 0 0 0 0 0 0 0 0 0 1821.65
74 20.48 40 10 protocol 7.5 670 0 0 964 0 0 0 0 0 0 0 0 0 0 0 1810.43
75 19.456 38 10 protocol 7.5 670 0 0 984 0 0 0 0 0 0 0 0 0 0 0 1796.03
76 20.48 40 10 protocol 7.5 670 0 0 1035 0 0 0 0 0 0 0 0 0 0 0 1780.82
77 20.48 40 10 protocol 7.5 670 0 0 1197 0 0 0 0 0 0 0 0 0 0 0 1770.29
78 20.48 40 10 protocol 7.5 670 0 0 1265 0 0 0 0 0 0 0 0 0 0 0 1758.21
79 18.944 37 10 protocol 7.5 670 0 0 1362 0 0 0 0 0 0 0 0 0 0 0 1738.29
80 17.408 34 10 protocol 7.5 670 0 0 1379 0 0 0 0 0 0 0 0 0 0 0 1717.35
81 16.896 33 10 protocol 7.5 670 0 0 1435 0 0 0 0 0 0 0 0 0 0 0 1701.67
82 17.92 35 10 protocol 7.5 670 0 0 1376 0 0 0 0 0 0 0 0 0 0 0 1692.54
