BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,AverageRoutingGoodputKbps,MacPhyOverhead
0.723578,0.589989,0.520148,0.481333,0.446504,0.406553,0.359858,0.359858,0.359858,0.359858,16.363,0.0785591
0.860414,0.775464,0.666468,0.497439,0.376288,0.309016,0.266059,0.266059,0.266059,0.266059,10.0315,0.079387
0.723578,0.589989,0.520148,0.481333,0.446504,0.406553,0.359858,0.359858,0.359858,0.359858,16.363,0.0785591
,,,,,,,,,,,
0.721979,0.596908,0.530948,0.493875,0.459761,0.420447,0.372572,0.372572,0.372572,0.372572,15.4073,0.118925
0.859559,0.777207,0.667041,0.497441,0.376241,0.308977,0.266025,0.266025,0.266025,0.266025,12.7347,0.13888
0.721979,0.596908,0.530948,0.493875,0.459761,0.420447,0.372572,0.372572,0.372572,0.372572,15.4073,0.118925
,,,,,,,,,,,
0.712908,0.579469,0.510452,0.47227,0.437902,0.399049,0.353321,0.353321,0.353321,0.353321,13.5146,0.098643
0.855519,0.770816,0.661112,0.493102,0.372989,0.306307,0.263726,0.263726,0.263726,0.263726,9.28566,0.131562
0.712908,0.579469,0.510452,0.47227,0.437902,0.399049,0.353321,0.353321,0.353321,0.353321,13.5146,0.098643
,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,18.4229,522.144
0,0,0,0,0,0,0,0,0,0,10.3574,123.658
0,0,0,0,0,0,0,0,0,0,18.4229,522.144
