SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
208,37.36,30,10,13CN,7.5,670,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,810.624
209,38.384,32,10,13CN,7.5,670,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,807.227
210,38.384,32,10,13CN,7.5,670,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,803.854
211,38.384,32,10,13CN,7.5,670,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,799.771
212,38.384,32,10,13CN,7.5,670,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,796.386
213,38.384,32,10,13CN,7.5,670,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,792.833
214,38.384,32,10,13CN,7.5,670,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,789.094
215,37.872,31,10,13CN,7.5,670,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,784.259
216,39.92,35,10,13CN,7.5,670,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,780.203
217,38.384,32,10,13CN,7.5,670,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,776.486
218,38.384,32,10,13CN,7.5,670,0,0,1310,0,0,0,0,0,0,0,0,0,0,0,772.744
219,40.432,36,10,13CN,7.5,670,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,769.313
220,40.432,36,10,13CN,7.5,670,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,766.1
221,40.432,36,10,13CN,7.5,670,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,762.183
222,40.432,36,10,13CN,7.5,670,0,0,1394,0,0,0,0,0,0,0,0,0,0,0,758.983
223,40.432,36,10,13CN,7.5,670,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,755.808
224,40.432,36,10,13CN,7.5,670,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,752.68
225,40.432,36,10,13CN,7.5,670,0,0,1352,0,0,0,0,0,0,0,0,0,0,0,749.576
226,40.432,36,10,13CN,7.5,670,0,0,1412,0,0,0,0,0,0,0,0,0,0,0,746.197
227,40.432,36,10,13CN,7.5,670,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,742.726
