SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
100,0,0,10,protocol,7.5,2030,26103,12.8586,9418,3554,0.377362,0.251801,0.203862,0.182018,0.162994,0.14458,0.126569,0.126569,0.126569,0.126569,0.114471
101,0,0,10,protocol,7.5,2030,24282,11.9616,9712,3591,0.369749,0.23897,0.19239,0.169323,0.151283,0.134856,0.118177,0.118177,0.118177,0.118177,0.11394
102,0,0,10,protocol,7.5,2030,21103,10.3956,9728,3429,0.352488,0.217656,0.171803,0.150015,0.134381,0.117922,0.102997,0.102997,0.102997,0.102997,0.11342
103,0,0,10,protocol,7.5,2030,24741,12.1877,9666,3691,0.381854,0.251747,0.202094,0.176712,0.157055,0.138571,0.121228,0.121228,0.121228,0.121228,0.112923
104,0,0,10,protocol,7.5,2030,24450,12.0443,9790,3760,0.384065,0.247842,0.199677,0.173929,0.154747,0.137167,0.120191,0.120191,0.120191,0.120191,0.112309
105,0,0,10,protocol,7.5,2030,25280,12.4532,9496,3551,0.373947,0.239623,0.197564,0.175134,0.158587,0.141954,0.124719,0.124719,0.124719,0.124719,0.111746
106,0,0,10,protocol,7.5,2030,3615,1.78079,9372,970,0.1035,0.05117,0.0376789,0.0298377,0.0244092,0.0206149,0.0178844,0.0178844,0.0178844,0.0178844,0.110773
107,0,0,10,protocol,7.5,2030,4167,2.05271,9281,1527,0.16453,0.072437,0.0477638,0.0369376,0.0294852,0.0240319,0.0206853,0.0206853,0.0206853,0.0206853,0.112157
108,0,0,10,protocol,7.5,2030,8217,4.04778,9555,2140,0.223967,0.11282,0.0811401,0.0678235,0.0563718,0.0472643,0.0408712,0.0408712,0.0408712,0.0408712,0.113166
109,0,0,10,protocol,7.5,2030,8567,4.2202,9573,1981,0.206936,0.109552,0.0818697,0.0697267,0.0587869,0.0493122,0.0427152,0.0427152,0.0427152,0.0427152,0.113504
110,0,0,10,protocol,7.5,2030,8848,4.35862,9406,2095,0.22273,0.118102,0.0857517,0.0722073,0.0607669,0.0510804,0.0440995,0.0440995,0.0440995,0.0440995,0.113402
111,0,0,10,protocol,7.5,2030,10660,5.25123,9294,2341,0.251883,0.139809,0.104218,0.0875726,0.0738969,0.0618006,0.0531933,0.0531933,0.0531933,0.0531933,0.113588
112,0,0,10,protocol,7.5,2030,9503,4.68128,9130,2103,0.23034,0.124133,0.0913117,0.0763856,0.064766,0.0548553,0.0474268,0.0474268,0.0474268,0.0474268,0.113606
113,0,0,10,protocol,7.5,2030,9235,4.54926,9025,2165,0.239889,0.129897,0.0956593,0.077074,0.0638188,0.0535157,0.0461782,0.0461782,0.0461782,0.0461782,0.113659
114,0,0,10,protocol,7.5,2030,11689,5.75813,8872,2377,0.267922,0.152753,0.116011,0.0961055,0.0805444,0.0678722,0.0584728,0.0584728,0.0584728,0.0584728,0.11348
115,0,0,10,protocol,7.5,2030,12385,6.10099,8865,2452,0.276593,0.156586,0.118237,0.0992261,0.0836149,0.071584,0.0620255,0.0620255,0.0620255,0.0620255,0.113484
116,0,0,10,protocol,7.5,2030,14459,7.12266,9042,2795,0.309113,0.17683,0.134258,0.112792,0.0963668,0.0833912,0.0725431,0.0725431,0.0725431,0.0725431,0.113274
117,0,0,10,protocol,7.5,2030,13417,6.60936,9275,2646,0.285283,0.166043,0.125796,0.107132,0.0916124,0.0776327,0.0673034,0.0673034,0.0673034,0.0673034,0.113124
118,0,0,10,protocol,7.5,2030,25860,12.7389,9057,3470,0.383129,0.253966,0.208769,0.187763,0.167338,0.148271,0.129677,0.129677,0.129677,0.129677,0.112628
119,0,0,10,protocol,7.5,2030,24106,11.8749,9092,3417,0.375825,0.238418,0.198352,0.175859,0.15644,0.138514,0.120975,0.120975,0.120975,0.120975,0.112213
120,0,0,10,protocol,7.5,2030,11244,5.53892,9289,2478,0.266767,0.147642,0.110057,0.0919634,0.0774856,0.0654273,0.0564495,0.0564495,0.0564495,0.0564495,0.112127
121,0,0,10,protocol,7.5,2030,3356,1.6532,9480,934,0.0985232,0.0502024,0.0361817,0.0289224,0.0233789,0.0195935,0.0168702,0.0168702,0.0168702,0.0168702,0.111366
122,0,0,10,protocol,7.5,2030,4213,2.07537,9524,1583,0.166212,0.0729731,0.0482991,0.0364792,0.0290274,0.0244641,0.0212127,0.0212127,0.0212127,0.0212127,0.113079
123,0,0,10,protocol,7.5,2030,6666,3.28374,9553,1868,0.195541,0.100343,0.0699797,0.0568259,0.0464148,0.0386852,0.0335851,0.0335851,0.0335851,0.0335851,0.113776
124,0,0,10,protocol,7.5,2030,8938,4.40296,9531,2213,0.23219,0.121574,0.087796,0.0726921,0.0610874,0.0519806,0.0450071,0.0450071,0.0450071,0.0450071,0.114112
125,0,0,10,protocol,7.5,2030,11809,5.81724,9503,2526,0.265811,0.144872,0.109329,0.0927368,0.0799047,0.0684743,0.0595128,0.0595128,0.0595128,0.0595128,0.11406
126,0,0,10,protocol,7.5,2030,8032,3.95665,9455,2118,0.224008,0.11706,0.0813463,0.0658126,0.0546846,0.0465855,0.0405059,0.0405059,0.0405059,0.0405059,0.114276
