BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,AverageRoutingGoodputKbps,MacPhyOverhead

0.371535,0.236389,0.18971,0.165745,0.146534,0.129319,0.113057,0.113057,0.113057,0.113057,0.353268,0.0568337
0.680665,0.5324,0.414965,0.296599,0.222995,0.18221,0.15607,0.15607,0.15607,0.15607,4.9321,0.0725176

0.34639,0.216518,0.171309,0.148381,0.130126,0.113952,0.0993882,0.0993882,0.0993882,0.0993882,0.158715,0.0155891
0.590825,0.466613,0.356941,0.250587,0.188273,0.153838,0.131769,0.131769,0.131769,0.131769,2.51896,0.00156792

0.274483,0.159633,0.122473,0.103885,0.089831,0.0780598,0.0679445,0.0679445,0.0679445,0.0679445,0.0273058,0.110155
0.501025,0.359722,0.258722,0.178351,0.13396,0.109459,0.0937566,0.0937566,0.0937566,0.0937566,0.675817,0.139943

0,0,0,0,0,0,0,0,0,0,17.6481,153.849
0,0,0,0,0,0,0,0,0,0,9.93076,71.4024






